n_calib,K,rep,task_seed,method,interval_left,interval_right,interval_length,satisfies_picpi
1000,100,4,1322332347,Empirical mode,0.03,0.06,0.03,True
1000,100,4,1322332347,Empirical mode,0.06,0.08,0.020000000000000004,True
1000,100,4,1322332347,Empirical mode,0.08,0.17,0.09000000000000001,True
1000,100,4,1322332347,Empirical mode,0.17,0.19,0.01999999999999999,False
1000,100,4,1322332347,Empirical mode,0.19,0.21,0.01999999999999999,False
1000,100,4,1322332347,Empirical mode,0.21,0.27,0.060000000000000026,True
1000,100,4,1322332347,Empirical mode,0.27,0.3,0.02999999999999997,True
1000,100,4,1322332347,Empirical mode,0.3,0.34,0.040000000000000036,True
1000,100,4,1322332347,Empirical mode,0.34,0.43,0.08999999999999997,True
1000,100,4,1322332347,Empirical mode,0.43,0.5,0.07,True
1000,100,4,1322332347,Empirical mode,0.5,0.61,0.10999999999999999,True
1000,100,4,1322332347,Empirical mode,0.61,0.66,0.050000000000000044,True
1000,100,4,1322332347,Empirical mode,0.66,0.78,0.12,True
1000,100,4,1322332347,Empirical mode,0.78,0.8300000000000001,0.050000000000000044,True
1000,100,4,1322332347,Empirical mode,0.8300000000000001,0.86,0.029999999999999916,True
1000,100,4,1322332347,Empirical mode,0.86,0.97,0.10999999999999999,True
1000,100,4,1322332347,Empirical mode,0.97,1.0,0.030000000000000027,True
1000,100,5,1237866825,Empirical mode,0.0,0.04,0.04,True
1000,100,5,1237866825,Empirical mode,0.04,0.09,0.049999999999999996,True
1000,100,5,1237866825,Empirical mode,0.09,0.17,0.08000000000000002,True
1000,100,5,1237866825,Empirical mode,0.17,0.21,0.03999999999999998,True
1000,100,5,1237866825,Empirical mode,0.21,0.3,0.09,True
1000,100,5,1237866825,Empirical mode,0.3,0.33,0.030000000000000027,True
1000,100,5,1237866825,Empirical mode,0.33,0.37,0.03999999999999998,True
1000,100,5,1237866825,Empirical mode,0.37,0.39,0.020000000000000018,True
1000,100,5,1237866825,Empirical mode,0.39,0.45,0.06,True
1000,100,5,1237866825,Empirical mode,0.45,0.53,0.08000000000000002,True
1000,100,5,1237866825,Empirical mode,0.53,0.74,0.20999999999999996,True
1000,100,5,1237866825,Empirical mode,0.74,0.8,0.06000000000000005,True
1000,100,5,1237866825,Empirical mode,0.8,0.85,0.04999999999999993,True
1000,100,5,1237866825,Empirical mode,0.85,0.86,0.010000000000000009,False
1000,100,5,1237866825,Empirical mode,0.86,0.92,0.06000000000000005,True
1000,100,5,1237866825,Empirical mode,0.92,0.9500000000000001,0.030000000000000027,True
1000,100,5,1237866825,Empirical mode,0.9500000000000001,0.99,0.039999999999999925,True
1000,100,5,1237866825,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,6,2877251197,Empirical mode,0.0,0.09,0.09,True
1000,100,6,2877251197,Empirical mode,0.09,0.13,0.04000000000000001,True
1000,100,6,2877251197,Empirical mode,0.13,0.22,0.09,True
1000,100,6,2877251197,Empirical mode,0.22,0.27,0.05000000000000002,True
1000,100,6,2877251197,Empirical mode,0.27,0.42,0.14999999999999997,True
1000,100,6,2877251197,Empirical mode,0.42,0.52,0.10000000000000003,True
1000,100,6,2877251197,Empirical mode,0.52,0.5700000000000001,0.050000000000000044,True
1000,100,6,2877251197,Empirical mode,0.5700000000000001,0.62,0.04999999999999993,True
1000,100,6,2877251197,Empirical mode,0.62,0.66,0.040000000000000036,True
1000,100,6,2877251197,Empirical mode,0.66,0.81,0.15000000000000002,True
1000,100,6,2877251197,Empirical mode,0.81,0.89,0.07999999999999996,True
1000,100,6,2877251197,Empirical mode,0.89,0.99,0.09999999999999998,True
1000,100,6,2877251197,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,7,1033149845,Empirical mode,0.0,0.03,0.03,True
1000,100,7,1033149845,Empirical mode,0.03,0.1,0.07,True
1000,100,7,1033149845,Empirical mode,0.1,0.28,0.18000000000000002,True
1000,100,7,1033149845,Empirical mode,0.28,0.29,0.009999999999999953,False
1000,100,7,1033149845,Empirical mode,0.29,0.38,0.09000000000000002,True
1000,100,7,1033149845,Empirical mode,0.38,0.46,0.08000000000000002,True
1000,100,7,1033149845,Empirical mode,0.46,0.49,0.02999999999999997,True
1000,100,7,1033149845,Empirical mode,0.49,0.64,0.15000000000000002,True
1000,100,7,1033149845,Empirical mode,0.64,0.66,0.020000000000000018,True
1000,100,7,1033149845,Empirical mode,0.66,0.72,0.05999999999999994,True
1000,100,7,1033149845,Empirical mode,0.72,0.8,0.08000000000000007,True
1000,100,7,1033149845,Empirical mode,0.8,0.84,0.039999999999999925,True
1000,100,7,1033149845,Empirical mode,0.84,0.91,0.07000000000000006,True
1000,100,7,1033149845,Empirical mode,0.91,0.96,0.04999999999999993,True
1000,100,7,1033149845,Empirical mode,0.96,0.99,0.030000000000000027,True
1000,100,7,1033149845,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,8,476211274,Empirical mode,0.0,0.03,0.03,True
1000,100,8,476211274,Empirical mode,0.03,0.06,0.03,True
1000,100,8,476211274,Empirical mode,0.06,0.09,0.03,True
1000,100,8,476211274,Empirical mode,0.09,0.16,0.07,True
1000,100,8,476211274,Empirical mode,0.16,0.2,0.04000000000000001,True
1000,100,8,476211274,Empirical mode,0.2,0.3,0.09999999999999998,True
1000,100,8,476211274,Empirical mode,0.3,0.33,0.030000000000000027,True
1000,100,8,476211274,Empirical mode,0.33,0.44,0.10999999999999999,True
1000,100,8,476211274,Empirical mode,0.44,0.51,0.07,True
1000,100,8,476211274,Empirical mode,0.51,0.59,0.07999999999999996,True
1000,100,8,476211274,Empirical mode,0.59,0.64,0.050000000000000044,True
1000,100,8,476211274,Empirical mode,0.64,0.67,0.030000000000000027,True
1000,100,8,476211274,Empirical mode,0.67,0.77,0.09999999999999998,True
1000,100,8,476211274,Empirical mode,0.77,0.85,0.07999999999999996,True
1000,100,8,476211274,Empirical mode,0.85,0.91,0.06000000000000005,True
1000,100,8,476211274,Empirical mode,0.91,0.9500000000000001,0.040000000000000036,True
1000,100,8,476211274,Empirical mode,0.9500000000000001,1.0,0.04999999999999993,True
1000,100,9,3058314195,Empirical mode,0.0,0.04,0.04,True
