n_calib,K,rep,task_seed,method,n_intervals,eval_nonempty_intervals,eval_empty_intervals,heldout_ptrue_fail_rate,heldout_label_fail_rate,heldout_ptrue_pass_rate,heldout_label_pass_rate,median_heldout_ptrue_min_slack,q10_heldout_ptrue_min_slack,median_heldout_label_min_slack,median_eval_count_per_interval
1000,100,17,584702789,Population mode,638,638,0,0.0,0.0,1.0,1.0,0.3572728999507543,0.30525780970648614,0.3567052439226782,663510.0
1000,100,18,278612057,Empirical mode,16,16,0,0.0625,0.0625,0.9375,0.9375,0.02218945434561758,0.002227365326251743,0.022517223552877268,49168.0
1000,100,18,278612057,Population mode,696,696,0,0.0,0.0,1.0,1.0,0.35143701990225307,0.3022791364214036,0.3513675469442936,650306.5
1000,100,19,4136879660,Empirical mode,17,17,0,0.0,0.0,1.0,1.0,0.019715985164175054,0.006501087686572715,0.01834761638172333,47428.0
1000,100,19,4136879660,Population mode,720,720,0,0.0,0.0,1.0,1.0,0.34930069298676014,0.2985993947273566,0.349197070531666,646016.5
1000,100,20,3130723125,Empirical mode,16,16,0,0.125,0.0625,0.875,0.9375,0.021327929607942178,0.003957424048914221,0.02182709422769464,53510.0
1000,100,20,3130723125,Population mode,659,659,0,0.0,0.0,1.0,1.0,0.35490860071340946,0.30022585219449394,0.3548531977568497,657340.0
1000,100,21,1387029225,Empirical mode,15,15,0,0.0,0.0,1.0,1.0,0.018039291389810752,0.006507990418893115,0.018698040106155056,50186.0
1000,100,21,1387029225,Population mode,648,648,0,0.0,0.0,1.0,1.0,0.35566392218933884,0.30608749981871536,0.3560003748427529,660447.5
1000,100,22,3470618006,Empirical mode,19,19,0,0.10526315789473684,0.05263157894736842,0.894736842105263,0.9473684210526315,0.019988233319164217,1.5932714547972785e-06,0.021693672015989707,44489.0
1000,100,22,3470618006,Population mode,737,737,0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.3477756322078013,0.3000922963886356,0.34769017671366853,642116.0
1000,100,23,3851796610,Empirical mode,17,17,0,0.11764705882352941,0.058823529411764705,0.8823529411764706,0.9411764705882353,0.021043193307351826,0.0017357668178910272,0.02246272516697776,63276.0
1000,100,23,3851796610,Population mode,641,641,0,0.0,0.0,1.0,1.0,0.3570405305425274,0.3089281769508749,0.3562598612773872,662744.0
1000,100,24,187493616,Empirical mode,19,19,0,0.10526315789473684,0.05263157894736842,0.894736842105263,0.9473684210526315,0.01970009148717644,0.004150149307976675,0.020733310146625494,47838.0
1000,100,24,187493616,Population mode,722,722,0,0.0,0.0,1.0,1.0,0.34902590794340166,0.3038987977301516,0.3489940715831671,645669.0
1000,100,25,2475458923,Empirical mode,20,20,0,0.05,0.1,0.9500000000000001,0.9,0.013812552367841596,0.006695952366469883,0.012755711739383654,47021.5
1000,100,25,2475458923,Population mode,709,709,0,0.0,0.0,1.0,1.0,0.3502644594753222,0.3020062996658079,0.3503779342173078,648813.0
1000,100,26,355799474,Empirical mode,14,14,0,0.0,0.0,1.0,1.0,0.02496668974236918,0.012079866457020522,0.02489672387072596,76192.0
1000,100,26,355799474,Population mode,740,740,0,0.0,0.0,1.0,1.0,0.3474217565486514,0.2987815304793922,0.3473172079060616,641849.0
1000,100,27,1326371354,Empirical mode,21,21,0,0.0,0.0,1.0,1.0,0.01911992853111988,0.00416321995421276,0.01611767153930188,44201.0
1000,100,27,1326371354,Population mode,731,731,0,0.0,0.0,1.0,1.0,0.34846886437541713,0.30054317748040826,0.3485774579288278,644221.0
1000,100,28,1875707806,Empirical mode,18,18,0,0.05555555555555555,0.0,0.9444444444444444,1.0,0.016954845734031,0.005579561431415366,0.01549560640198272,51358.0
1000,100,28,1875707806,Population mode,778,778,0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.3439204385004475,0.29493265827090454,0.34371697520224215,634816.5
1000,100,29,3036669591,Empirical mode,16,16,0,0.0625,0.0625,0.9375,0.9375,0.012103452800599946,0.004952088168551735,0.013160666169212975,49011.0
1000,100,29,3036669591,Population mode,598,598,0,0.0,0.0,1.0,1.0,0.36133990097852553,0.3101421246306348,0.3611789824970463,671027.5
1000,100,30,3796106121,Empirical mode,19,19,0,0.05263157894736842,0.10526315789473684,0.9473684210526315,0.894736842105263,0.02060121332395111,0.003109012508908782,0.020501707219539145,44766.0
1000,100,30,3796106121,Population mode,743,743,0,0.0,0.0,1.0,1.0,0.34687030633888194,0.29761501821399455,0.3468972426406347,641274.0
1000,100,31,3102422467,Empirical mode,16,16,0,0.0,0.0,1.0,1.0,0.021480190776526298,0.008648862303270916,0.02186997608971608,57399.0
1000,100,31,3102422467,Population mode,790,790,0,0.0,0.0,1.0,1.0,0.3431686400592886,0.2944021611338749,0.3430715647467436,632832.5
1000,100,32,2599746267,Empirical mode,17,17,0,0.0,0.0,1.0,1.0,0.020784259735617483,0.007269089155348985,0.020774149490936145,58676.0
1000,100,32,2599746267,Population mode,739,739,0,0.0,0.0,1.0,1.0,0.34764115616218316,0.2959125507531763,0.3473827417018663,642100.0
1000,100,33,22061551,Empirical mode,16,16,0,0.0,0.0625,1.0,0.9375,0.01818567599790122,0.00396163353145057,0.01700201451095057,56813.0
1000,100,33,22061551,Population mode,631,631,0,0.0,0.0,1.0,1.0,0.3577512110105505,0.3096271417436758,0.35773731988834967,663816.0
1000,100,34,3319097093,Empirical mode,17,17,0,0.0,0.0,1.0,1.0,0.02071660263251965,0.005586580438100744,0.02108256259391733,56353.0
1000,100,34,3319097093,Population mode,644,644,0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.3568284099813023,0.31308079634138253,0.35653140016952534,661548.0
1000,100,35,1600657756,Empirical mode,17,17,0,0.0,0.0,1.0,1.0,0.019821018190187445,0.007974727475636411,0.01941108971740857,52274.0
1000,100,35,1600657756,Population mode,700,700,0,0.0,0.0,1.0,1.0,0.3511779528845983,0.2998184455371913,0.35119110418470034,649708.5
1000,100,36,2309996416,Empirical mode,16,16,0,0.0625,0.0625,0.9375,0.9375,0.01651777268376428,0.0068990342242176185,0.016612666259288526,49279.0
1000,100,36,2309996416,Population mode,713,713,0,0.0,0.0,1.0,1.0,0.3497717360404806,0.29749383509953453,0.34980151147739624,647262.0
1000,100,37,229563510,Empirical mode,19,19,0,0.05263157894736842,0.05263157894736842,0.9473684210526315,0.9473684210526315,0.014813374176049277,0.003393762791022714,0.016584970436772817,45522.0
1000,100,37,229563510,Population mode,637,637,0,0.0,0.0,1.0,1.0,0.35712007726928185,0.31510328613455657,0.3571334079625427,663065.0
1000,100,38,3973163348,Empirical mode,19,19,0,0.05263157894736842,0.05263157894736842,0.9473684210526315,0.9473684210526315,0.012599193494211403,0.003973691113064804,0.014030055631818472,45229.0
