n_calib,width_median_mean,width_mean_mean,width_median_sd,width_q90_mean,width_q90_sd,coverage_mean,n_raw_intervals_mean,n_intervals_mean,rate_term
1000,0.69345,0.7061555300000001,0.011692503857799092,0.7622,0.017728593579385558,1.0,421.13,421.13,0.1904491247640555
3000,0.5058,0.5060185100000001,0.01664726143037686,0.5354,0.018058267084662648,1.0,1243.12,1243.12,0.13870903698649753
10000,0.31579999999999997,0.31207498,0.009762844427375217,0.32689999999999997,0.008372031359885668,1.0,2276.77,2276.77,0.09729530713186156
30000,0.18379999999999996,0.19458867,0.006321360293449177,0.22889999999999996,0.004902071300001962,1.0,3088.18,3088.18,0.07004295019622545
100000,0.12,0.12297625999999999,0.0,0.15789999999999998,0.004093601807403292,1.0,3731.99,3731.99,0.04864765356593078
300000,0.08529999999999997,0.08718021999999999,0.0050161355804659025,0.11019999999999999,0.0014070529413628902,1.0,4143.91,4143.91,0.034770873142995644
1000000,0.05999999999999999,0.060423649999999975,2.103746207251774e-17,0.07999999999999996,0.0,1.0,4448.66,4448.66,0.023995086122428854
3000000,0.040000000000000036,0.043570819999999975,0.0,0.059999999999999956,2.7597422900244733e-17,1.0,4639.27,4639.27,0.017067064132745502
10000000,0.03000000000000001,0.03162197999999999,1.3947701538996772e-17,0.04,2.5718290883166633e-17,1.0,4783.42,4783.42,0.011724776591220462
