n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
10000,0.31776799999999994,0.31999999999999995,0.32999999999999996,0.33,1.0,2261,2261,0.09729530713186156,60
10000,0.30936400000000003,0.30999999999999994,0.32,0.33999999999999997,1.0,2269,2269,0.09729530713186156,61
10000,0.30664699999999995,0.31,0.31000000000000005,0.31000000000000005,1.0,2368,2368,0.09729530713186156,62
10000,0.322049,0.32999999999999996,0.33,0.33,1.0,2273,2273,0.09729530713186156,63
10000,0.30095599999999995,0.29999999999999993,0.32999999999999996,0.32999999999999996,1.0,2334,2334,0.09729530713186156,64
10000,0.31286200000000003,0.31999999999999995,0.31999999999999995,0.32999999999999996,1.0,2310,2310,0.09729530713186156,65
10000,0.31826399999999994,0.31999999999999995,0.32999999999999996,0.33,1.0,2258,2258,0.09729530713186156,66
10000,0.29152300000000003,0.29,0.31,0.31999999999999995,1.0,2400,2400,0.09729530713186156,67
10000,0.322006,0.32999999999999996,0.32999999999999996,0.32999999999999996,1.0,2233,2233,0.09729530713186156,68
10000,0.31793099999999996,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2244,2244,0.09729530713186156,69
10000,0.302573,0.3,0.31,0.31,1.0,2370,2370,0.09729530713186156,70
10000,0.309156,0.30999999999999994,0.32999999999999996,0.32999999999999996,1.0,2294,2294,0.09729530713186156,71
10000,0.32258899999999996,0.32999999999999996,0.33,0.33000000000000007,1.0,2190,2190,0.09729530713186156,72
10000,0.32449799999999995,0.31999999999999995,0.36,0.36,1.0,2143,2143,0.09729530713186156,73
10000,0.309504,0.30999999999999994,0.32999999999999996,0.33999999999999997,1.0,2256,2256,0.09729530713186156,74
10000,0.32355500000000004,0.32999999999999996,0.33999999999999997,0.33999999999999997,1.0,2148,2148,0.09729530713186156,75
10000,0.317339,0.32999999999999996,0.34,0.34,1.0,2306,2306,0.09729530713186156,76
10000,0.30096000000000006,0.31,0.32000000000000006,0.32999999999999996,1.0,2274,2274,0.09729530713186156,77
10000,0.3142,0.31,0.32999999999999996,0.32999999999999996,1.0,2195,2195,0.09729530713186156,78
10000,0.305106,0.31999999999999995,0.33,0.33,1.0,2264,2264,0.09729530713186156,79
10000,0.30938699999999997,0.30999999999999994,0.32999999999999996,0.32999999999999996,1.0,2243,2243,0.09729530713186156,80
10000,0.30763,0.30999999999999994,0.32,0.32000000000000006,1.0,2336,2336,0.09729530713186156,81
10000,0.312788,0.31999999999999995,0.32999999999999996,0.33999999999999997,1.0,2270,2270,0.09729530713186156,82
10000,0.310362,0.32,0.32999999999999996,0.32999999999999996,1.0,2281,2281,0.09729530713186156,83
10000,0.31195799999999996,0.31999999999999995,0.32,0.32999999999999996,1.0,2337,2337,0.09729530713186156,84
10000,0.313693,0.31999999999999995,0.33,0.33,1.0,2228,2228,0.09729530713186156,85
10000,0.309908,0.31,0.32999999999999996,0.32999999999999996,1.0,2284,2284,0.09729530713186156,86
10000,0.304583,0.30999999999999994,0.31999999999999995,0.33999999999999997,1.0,2296,2296,0.09729530713186156,87
10000,0.30447199999999996,0.3,0.31999999999999995,0.32999999999999996,1.0,2311,2311,0.09729530713186156,88
10000,0.321907,0.32,0.33,0.33,1.0,2219,2219,0.09729530713186156,89
10000,0.30805599999999994,0.31999999999999995,0.31999999999999995,0.32999999999999996,1.0,2357,2357,0.09729530713186156,90
10000,0.329885,0.33,0.33999999999999997,0.33999999999999997,1.0,2201,2201,0.09729530713186156,91
10000,0.309331,0.30999999999999994,0.32,0.32999999999999996,1.0,2285,2285,0.09729530713186156,92
