Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*
Simultaneous confidence interval,0.04376379289743473,0.013434824219008207,0.014733855981176859,,0.6335
PICPI,0.09875546938775512,0.013320419481359033,0.015085420831522037,1.0,0.9725
Split conformal prediction,0.8152631024392022,0.27015976277105846,0.013618285174490262,,1.0
Calibration-based interval,0.02,0.01658593004960132,0.014464979980473408,0.6,0.3705
Fixed-width binning,0.02,0.017663232886294903,0.017497589736186335,1.0,0.37
