Method,average_length_mean,average_length_sd,ece_mean,ece_sd,coverage_01_mean,coverage_01_sd,coverage_pstar_mean,coverage_pstar_sd
Simultaneous confidence interval,0.4067015552281422,0.006138124539133226,0.06432579146217585,0.005741456282694491,,,1.0,0.0
PICPI,0.11286138204081635,0.00959725054712856,0.010058966972749354,0.004697689641868951,1.0,0.0,0.79474,0.04680631054751812
Split conformal prediction,0.8716392103725658,0.00904420971507128,0.2718413669920775,0.008867549272393613,,,1.0,0.0
Calibration-based interval,0.02,6.257063897465228e-18,0.01169230385918813,0.004861543085718402,0.6078,0.1148699748024309,0.280723,0.032504003964702155
Fixed-width binning,0.02,0.0,0.010603845496679205,0.005777904105277244,1.0,0.0,0.292763,0.0333717767860596
