Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Calibration-based interval,0.0199999999999999,0.0088770342043497,0.00798016001452,0.72,0.2691,14
Fixed-width binning,0.02,0.0082002743280061,0.0081863970175942,1.0,0.2708,14
Simultaneous confidence interval,0.4108422923219519,0.0704573803908591,0.033175848373714,,1.0,15
PICPI,0.1057932244897959,0.0061522553733704,0.0047142671471066,1.0,0.7499,15
Split conformal prediction,0.8673822261519611,0.2676025696205361,0.024760530694359,,1.0,15
Calibration-based interval,0.02,0.0082814102149074,0.0038106491429249,0.5,0.268,15
Fixed-width binning,0.02,0.0048852375492832,0.0048126860885106,1.0,0.2801,15
Simultaneous confidence interval,0.4155127754615353,0.0694611365775692,0.0330923222968785,,1.0,16
PICPI,0.1199039591836734,0.0074235806683739,0.0059664107823171,1.0,0.8031,16
Split conformal prediction,0.857452031694249,0.2560730432270445,0.0249985025963145,,1.0,16
Calibration-based interval,0.0199999999999999,0.0068677914435154,0.0055005519553113,0.66,0.2778,16
Fixed-width binning,0.02,0.0066701657668543,0.0066350988112258,1.0,0.2866,16
Simultaneous confidence interval,0.3916254309367984,0.0522611561088606,0.0340003384483358,,1.0,17
PICPI,0.1349859183673469,0.0152825992194415,0.0182604427825193,1.0,0.824,17
Split conformal prediction,0.8820602864997913,0.2843092255900728,0.027032573706099,,1.0,17
Calibration-based interval,0.02,0.0178086319469573,0.0179604179698848,0.82,0.2519,17
Fixed-width binning,0.02,0.0204905472290761,0.0205236970278955,1.0,0.2561,17
Simultaneous confidence interval,0.4150643044008066,0.0722555996994091,0.0365887866892323,,1.0,18
PICPI,0.1175650612244898,0.0051154623062137,0.0036154715032441,1.0,0.7734,18
Split conformal prediction,0.8653197208074472,0.2639160275522484,0.027628152152447,,1.0,18
Calibration-based interval,0.02,0.0058572175485593,0.0034776195772161,0.58,0.2571,18
Fixed-width binning,0.02,0.005091419966017,0.0050179767003108,1.0,0.2593,18
Simultaneous confidence interval,0.4059157747101502,0.0632226616213966,0.0246795796963434,,1.0,19
PICPI,0.105046693877551,0.0027625907611416,0.0018561574597845,1.0,0.8464,19
Split conformal prediction,0.8721030666771591,0.2743996489439037,0.0177947823315857,,1.0,19
Calibration-based interval,0.02,0.0054142036710521,0.001944952249025,0.52,0.3247,19
Fixed-width binning,0.02,0.0027361677080464,0.0026537978441884,1.0,0.3448,19
Simultaneous confidence interval,0.4109410980210808,0.0716024355818714,0.0335690223165362,,1.0,20
PICPI,0.0990729795918367,0.0073954838045287,0.0060777104576042,1.0,0.7363,20
Split conformal prediction,0.8669017258460885,0.2683414637300237,0.0252177030331832,,1.0,20
Calibration-based interval,0.0199999999999999,0.0091313960594986,0.0057240625493334,0.54,0.2645,20
Fixed-width binning,0.02,0.0070978738973589,0.0070838459915728,1.0,0.2725,20
Simultaneous confidence interval,0.4127855097027819,0.0638611686472299,0.0290247275408061,,1.0,21
PICPI,0.1139276326530612,0.0113300628842162,0.0100214477322773,1.0,0.8172,21
Split conformal prediction,0.8749900827965054,0.2718068508993991,0.0213149307253804,,1.0,21
