Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Split conformal prediction,0.841283914639071,0.2453042426642674,0.022539674823982,,1.0,63
Calibration-based interval,0.0199999999999999,0.008809520639365,0.0061645391244152,0.66,0.3181,63
Fixed-width binning,0.02,0.0065298976835951,0.0065762217228089,1.0,0.3221,63
Simultaneous confidence interval,0.4200847180824968,0.0741660845886491,0.0375522871367575,,1.0,64
PICPI,0.1258931428571429,0.0091593555614072,0.0072193584009978,1.0,0.7594,64
Split conformal prediction,0.870779788658832,0.2683106793149236,0.0276143550954896,,1.0,64
Calibration-based interval,0.0199999999999999,0.0084236636949582,0.0065121295163493,0.66,0.2351,64
Fixed-width binning,0.02,0.0065899700721991,0.0066487487607849,1.0,0.2477,64
Simultaneous confidence interval,0.39958884564149,0.0529603017586576,0.0235053478694585,,1.0,65
PICPI,0.1017751020408163,0.0131301756598093,0.0138809508716348,1.0,0.8633,65
Split conformal prediction,0.8720864863102774,0.2723053808210635,0.018805074020739,,1.0,65
Calibration-based interval,0.02,0.0153731289946525,0.0140310469668856,0.66,0.3241,65
Fixed-width binning,0.02,0.0140770128371979,0.0140775927203579,1.0,0.3305,65
Simultaneous confidence interval,0.4050864289208223,0.063816620267561,0.0304868393460645,,1.0,66
PICPI,0.1155735918367347,0.0087803851275023,0.0075252910919116,1.0,0.7869,66
Split conformal prediction,0.8739717777622429,0.2749857362568207,0.0221450088588783,,1.0,66
Calibration-based interval,0.0199999999999999,0.0111947224618089,0.0065734948852466,0.44,0.2747,66
Fixed-width binning,0.02,0.0071892823255387,0.0073044587450675,1.0,0.3068,66
Simultaneous confidence interval,0.4140120826891518,0.0755254499654963,0.0349073413177518,,1.0,67
PICPI,0.1054772244897959,0.0161857263262874,0.014884752627483,1.0,0.7435,67
Split conformal prediction,0.8697972291676762,0.2684057027910633,0.0269763479204227,,1.0,67
Calibration-based interval,0.02,0.0197982225319642,0.0169445976023737,0.44,0.2168,67
Fixed-width binning,0.02,0.0166938242998584,0.0167159963557648,1.0,0.2396,67
Simultaneous confidence interval,0.4009235406329532,0.0601777040985758,0.0313220587614273,,1.0,68
PICPI,0.1116568163265306,0.0117539807459502,0.0113698755204002,1.0,0.7954,68
Split conformal prediction,0.8754408995563036,0.2741006152785918,0.0234486434063865,,1.0,68
Calibration-based interval,0.02,0.0126521514524888,0.0109147115301608,0.58,0.2844,68
Fixed-width binning,0.02,0.0126631891088719,0.0127474567207312,1.0,0.2944,68
Simultaneous confidence interval,0.4133292470835457,0.0717108107486567,0.0425754428802925,,1.0,69
PICPI,0.1205888979591837,0.013878497865286,0.0131426800634686,1.0,0.6946,69
Split conformal prediction,0.8834588850269547,0.2778297119307816,0.0304902523446535,,1.0,69
Calibration-based interval,0.0199999999999999,0.012572362090646,0.0121921946587274,0.52,0.2331,69
Fixed-width binning,0.02,0.0144615514626004,0.0144331377690571,1.0,0.2392,69
Simultaneous confidence interval,0.402693409367592,0.0581178278354817,0.0249039678604614,,1.0,70
PICPI,0.1262593469387755,0.0111157353254388,0.0108970176380536,1.0,0.8817,70
Split conformal prediction,0.8586374881573232,0.2608540652371008,0.0193393899245352,,1.0,70
Calibration-based interval,0.02,0.012479555294415,0.0112697392033962,0.62,0.3289,70
Fixed-width binning,0.02,0.012449340888305,0.0124707707947505,1.0,0.337,70
Simultaneous confidence interval,0.4111103427875485,0.0650754920373734,0.0195309675471465,,1.0,71
PICPI,0.1118371836734694,0.0042734807949871,0.0024961599038365,1.0,0.8899,71
Split conformal prediction,0.8647044259925915,0.2680365107912192,0.0148244597372931,,1.0,71
Calibration-based interval,0.02,0.0064036662061096,0.0029326406265821,0.6,0.3763,71
Fixed-width binning,0.02,0.003256044562541,0.0032780661653969,1.0,0.3909,71
Simultaneous confidence interval,0.4055552999169924,0.0635880163544859,0.0206525113166456,,1.0,72
PICPI,0.1114915918367347,0.0037306188181522,0.0020465887889295,1.0,0.897,72
Split conformal prediction,0.891701968661297,0.2949053584262562,0.0143428757297676,,1.0,72
Calibration-based interval,0.02,0.0039860567765693,0.0025438884362747,0.82,0.3753,72
Fixed-width binning,0.02,0.0027720519462683,0.0026340653950232,1.0,0.3808,72
Simultaneous confidence interval,0.4063673609956422,0.0625008201472052,0.026299800016473,,1.0,73
PICPI,0.1070768571428571,0.0098234115851498,0.0087878698179431,1.0,0.8339,73
Split conformal prediction,0.8684543444782028,0.2676445162531266,0.01991935126821,,1.0,73
Calibration-based interval,0.02,0.0102059587476597,0.0081472603269017,0.54,0.3061,73
Fixed-width binning,0.02,0.0096286340686387,0.0096567014840528,1.0,0.3303,73
Simultaneous confidence interval,0.3979341521937102,0.0549521184837686,0.0318513140671289,,1.0,74
PICPI,0.1201516326530612,0.017838355032612,0.0189628314673179,1.0,0.8008,74
Split conformal prediction,0.867378702764475,0.2660118368824688,0.0255107415185738,,1.0,74
Calibration-based interval,0.0199999999999999,0.01982737511473,0.0194081215997604,0.7,0.2714,74
Fixed-width binning,0.02,0.0210029314847573,0.0210082433038807,1.0,0.2751,74
Simultaneous confidence interval,0.4012854624008945,0.0617980958975358,0.0295137875299687,,1.0,75
PICPI,0.1073804489795918,0.0054955126980188,0.0055908506670724,1.0,0.8017,75
Split conformal prediction,0.865234522192409,0.2673207331733387,0.0219972911116742,,1.0,75
Calibration-based interval,0.02,0.0073651747220325,0.0057086138850715,0.64,0.2909,75
Fixed-width binning,0.02,0.0061694151687473,0.0062287033956717,1.0,0.3072,75
Simultaneous confidence interval,0.4153652995104246,0.0718768178801726,0.0315926248145989,,1.0,76
PICPI,0.1137926122448979,0.0089244089380874,0.0077082740371851,1.0,0.7957,76
Split conformal prediction,0.8730055804337801,0.2712772749405617,0.0239907238375223,,1.0,76
Calibration-based interval,0.02,0.0125804100415405,0.0077770890688502,0.44,0.2499,76
Fixed-width binning,0.02,0.0087951972271386,0.0087428979302124,1.0,0.2704,76
Simultaneous confidence interval,0.4085977815157395,0.0667045872135591,0.0379539331483656,,1.0,77
PICPI,0.1242395102040816,0.0118714763155556,0.0113711094876592,1.0,0.7581,77
Split conformal prediction,0.8675842581826366,0.2664986198824277,0.0285284114494064,,1.0,77
Calibration-based interval,0.02,0.0118716276515529,0.0111534460301168,0.7,0.2529,77
Fixed-width binning,0.02,0.0125643434388519,0.0125304436461026,1.0,0.2608,77
Simultaneous confidence interval,0.402462516492268,0.062117253868321,0.0330841185709998,,1.0,78
PICPI,0.106476081632653,0.0086012082371109,0.0086395667283076,1.0,0.7553,78
Split conformal prediction,0.8787376907827342,0.280661018638669,0.024149728984334,,1.0,78
Calibration-based interval,0.02,0.0105456629771573,0.0090262228527599,0.58,0.2765,78
Fixed-width binning,0.02,0.0096946457423413,0.0097497120333516,1.0,0.2816,78
Simultaneous confidence interval,0.4113162406498993,0.0683707853634592,0.0336788579745995,,1.0,79
PICPI,0.1201131836734694,0.0043941923209257,0.0030424632379126,1.0,0.7861,79
Split conformal prediction,0.8760581107872963,0.274716034676604,0.0244690210210562,,1.0,79
Calibration-based interval,0.02,0.0049245763729604,0.0034757583952197,0.7,0.2786,79
Fixed-width binning,0.02,0.0040282970335159,0.004042245037691,1.0,0.2811,79
Simultaneous confidence interval,0.402820825921421,0.0679078558904629,0.0402144120884513,,1.0,80
PICPI,0.1131228163265306,0.0076744258693839,0.0073436159322903,1.0,0.7153,80
Split conformal prediction,0.8818366358977241,0.2803225381358997,0.0285576095797356,,1.0,80
Calibration-based interval,0.02,0.0089440708652256,0.0076855141255171,0.7,0.2474,80
Fixed-width binning,0.02,0.009778898697197,0.0098375777629721,1.0,0.2498,80
Simultaneous confidence interval,0.4058203198198237,0.0603168407461598,0.0269647158620068,,1.0,81
PICPI,0.1227754285714285,0.0079447219830869,0.0080022750529113,1.0,0.8503,81
Split conformal prediction,0.8790154257208589,0.278930410478077,0.0193355707592032,,1.0,81
Calibration-based interval,0.02,0.0096422638894537,0.0088652881111168,0.68,0.3212,81
Fixed-width binning,0.02,0.009328529818041,0.0093608408883638,1.0,0.3255,81
Simultaneous confidence interval,0.4071430142697305,0.0635435010653956,0.0260393181083983,,1.0,82
PICPI,0.097336693877551,0.0033436580110486,0.0028395244061854,1.0,0.8065,82
Split conformal prediction,0.8679177163928969,0.2696151387608085,0.0191069622081226,,1.0,82
Calibration-based interval,0.02,0.0068956605783474,0.0028868340107701,0.66,0.3185,82
Fixed-width binning,0.02,0.003347651882082,0.0033295616781084,1.0,0.3326,82
Simultaneous confidence interval,0.4060778127379261,0.060043478232344,0.0385714966310428,,1.0,83
PICPI,0.108888,0.0184993827931278,0.0186331915199194,1.0,0.7265,83
Split conformal prediction,0.8658844938196751,0.264583739716451,0.0302739117377076,,1.0,83
Calibration-based interval,0.02,0.0185767504897957,0.0177671162044655,0.68,0.242,83
Fixed-width binning,0.02,0.0200670967739702,0.0200343930926036,1.0,0.2467,83
Simultaneous confidence interval,0.4112171964766895,0.0669453317119407,0.0282321536484402,,1.0,84
PICPI,0.1037642448979592,0.0025691048688099,0.0014602571287819,1.0,0.8052,84
Split conformal prediction,0.8725121735547283,0.2723609241403509,0.0208888820102839,,1.0,84
Calibration-based interval,0.0199999999999999,0.0057876217370929,0.001888002576882,0.64,0.2969,84
Fixed-width binning,0.02,0.0021002125407089,0.0020371915979322,1.0,0.3119,84
Simultaneous confidence interval,0.3955426482455087,0.0539357162749513,0.0285770624490784,,1.0,85
PICPI,0.1168649795918367,0.0116701817508136,0.0128803021687459,1.0,0.8248,85
Split conformal prediction,0.8703387465619326,0.2722401817188111,0.0223836267709204,,1.0,85
Calibration-based interval,0.02,0.0183888513729632,0.0154919563547028,0.5,0.2629,85
Fixed-width binning,0.02,0.0161465478893548,0.0162053071601314,1.0,0.2939,85
Simultaneous confidence interval,0.4015672445548526,0.0651465872231486,0.0319334652623214,,1.0,86
PICPI,0.0975645714285714,0.0061195518768186,0.0049711161587888,1.0,0.7485,86
Split conformal prediction,0.8661139683129503,0.2666242108568363,0.0235979216822374,,1.0,86
Calibration-based interval,0.02,0.0099445924663412,0.003788950497147,0.48,0.2503,86
Fixed-width binning,0.02,0.0046869703075803,0.0047015053868411,1.0,0.2947,86
Simultaneous confidence interval,0.4056387073784894,0.060944600241627,0.0332015870051387,,1.0,87
PICPI,0.1056150612244898,0.0103513036715158,0.0106407743714695,1.0,0.7691,87
Split conformal prediction,0.8644940309649861,0.2643332276506685,0.0254505926508622,,1.0,87
Calibration-based interval,0.02,0.0133773101590347,0.0105908928731104,0.54,0.2689,87
Fixed-width binning,0.02,0.0105382891391084,0.010573406489988,1.0,0.2815,87
Simultaneous confidence interval,0.4030682635217659,0.0587878704379744,0.0305612936248307,,1.0,88
PICPI,0.1097109387755102,0.012813112720273,0.0128129648435198,1.0,0.8093,88
Split conformal prediction,0.8787969842075938,0.2792638017139187,0.022589585227012,,1.0,88
Calibration-based interval,0.0199999999999999,0.0146817839363616,0.0132530343309965,0.58,0.2866,88
Fixed-width binning,0.02,0.0139091350941941,0.0139977401730941,1.0,0.2964,88
Simultaneous confidence interval,0.4058329714331928,0.067229730076763,0.04049255543495,,1.0,89
PICPI,0.1117475510204081,0.0074223831816507,0.0069230053352884,1.0,0.7228,89
Split conformal prediction,0.8670403479092654,0.2630960855471848,0.0300876196251084,,1.0,89
Calibration-based interval,0.02,0.0113500618697283,0.0077736246408891,0.58,0.2384,89
Fixed-width binning,0.02,0.0081577400029908,0.0081732874526198,1.0,0.2491,89
Simultaneous confidence interval,0.4079379107560362,0.0666688898993614,0.0316370309553985,,1.0,90
PICPI,0.112380693877551,0.0051790101996476,0.0046261287697126,1.0,0.7918,90
Split conformal prediction,0.8850731748989176,0.2857026968063688,0.0224655388340987,,1.0,90
Calibration-based interval,0.0199999999999999,0.0059514562248712,0.0050426936134257,0.66,0.2916,90
Fixed-width binning,0.02,0.0057324942844027,0.0057419512779376,1.0,0.2905,90
Simultaneous confidence interval,0.4041500967687588,0.0618741560331821,0.0300306027730123,,1.0,91
PICPI,0.1151560408163265,0.0085539067348513,0.0087427607563578,1.0,0.8046,91
Split conformal prediction,0.8762071020332011,0.2795944559543538,0.0221639220587539,,1.0,91
Calibration-based interval,0.02,0.0095088272587497,0.0084218035343012,0.72,0.299,91
Fixed-width binning,0.02,0.0083681320366239,0.0084632226449309,1.0,0.3054,91
Simultaneous confidence interval,0.4122411810319046,0.069402789699645,0.0308189063397401,,1.0,92
PICPI,0.135853306122449,0.0060579566851521,0.0037267823633064,1.0,0.8301,92
Split conformal prediction,0.8588858034897883,0.2594384013194306,0.023171277476127,,1.0,92
Calibration-based interval,0.02,0.005147963472767,0.0035961220025698,0.64,0.2895,92
Fixed-width binning,0.02,0.0044847495792873,0.0043761481898111,1.0,0.2921,92
Simultaneous confidence interval,0.3991482689007322,0.0627836428273007,0.0376376413243885,,1.0,93
PICPI,0.1176662857142857,0.0083682936954316,0.0087230585268893,1.0,0.7399,93
Split conformal prediction,0.87680926955028,0.2768114358174745,0.0273742638091623,,1.0,93
Calibration-based interval,0.02,0.009707933783687,0.0096233655700532,0.84,0.2629,93
Fixed-width binning,0.02,0.0101004954438296,0.0101964433860233,1.0,0.2625,93
Simultaneous confidence interval,0.4035228406157994,0.0683168460869799,0.0367749700956004,,1.0,94
PICPI,0.1095242040816326,0.0046492855108464,0.0041639045492091,1.0,0.7492,94
Split conformal prediction,0.8768461498700652,0.2757244791575368,0.0266276177274051,,1.0,94
Calibration-based interval,0.02,0.0064420904861395,0.0043516807245279,0.68,0.2579,94
Fixed-width binning,0.02,0.0052851749324556,0.0052334211311395,1.0,0.2603,94
Simultaneous confidence interval,0.4093200852782848,0.0631749704684472,0.0235371088356435,,1.0,95
PICPI,0.1112215510204081,0.0090410796029457,0.0079691232372113,1.0,0.8547,95
Split conformal prediction,0.8786918322805694,0.2812128687034028,0.0168799110887376,,1.0,95
Calibration-based interval,0.0199999999999999,0.0108653847382936,0.0078897621344973,0.62,0.331,95
Fixed-width binning,0.02,0.0082811526803618,0.0082723240018372,1.0,0.3562,95
Simultaneous confidence interval,0.4038293270374693,0.0567928043664513,0.0299745159277892,,1.0,96
PICPI,0.1192806122448979,0.0112999974758104,0.0120547637440681,1.0,0.8265,96
Split conformal prediction,0.8768840290768396,0.2768740766877168,0.0228514254153343,,1.0,96
Calibration-based interval,0.02,0.0140125741712404,0.0127974858433115,0.6,0.2789,96
Fixed-width binning,0.02,0.0127305169074918,0.012724960945502,1.0,0.2917,96
Simultaneous confidence interval,0.3965075979229723,0.0599097973205377,0.0347192926971451,,1.0,97
PICPI,0.0979805714285714,0.0118311555907286,0.0122707746777301,1.0,0.7369,97
Split conformal prediction,0.8674705167350423,0.2692491491071016,0.0260751386863521,,1.0,97
Calibration-based interval,0.0199999999999999,0.0161726478033706,0.0124514647376573,0.4,0.2445,97
Fixed-width binning,0.02,0.0127982715503518,0.0128555734487722,1.0,0.2767,97
Simultaneous confidence interval,0.4094156864465955,0.0661326997647354,0.0314855594860721,,1.0,98
PICPI,0.114932081632653,0.0033444895663204,0.0028256272397405,1.0,0.7752,98
Split conformal prediction,0.8901926788969822,0.2890361807889202,0.0217275529221002,,1.0,98
Calibration-based interval,0.0199999999999999,0.0065816303144393,0.0030159355703983,0.5,0.281,98
Fixed-width binning,0.02,0.0039628245631765,0.0040195614661199,1.0,0.2951,98
Simultaneous confidence interval,0.4030956985045844,0.0622607523206893,0.0397019460870393,,1.0,99
PICPI,0.1109127346938775,0.0219608001841705,0.0227235422846447,1.0,0.7314,99
Split conformal prediction,0.869633762548296,0.2674945069869201,0.030317740473842,,1.0,99
Calibration-based interval,0.02,0.0235048270679872,0.0236982808118085,0.74,0.2444,99
Fixed-width binning,0.02,0.0259448113484359,0.0259740563216883,1.0,0.2452,99
