Method,ece_midpoint_mean,ece_midpoint_sd,ece_mean_phat_mean,ece_mean_phat_sd,relative_ece_midpoint,relative_ece_mean_phat
Simultaneous confidence interval,0.0643257914621758,0.005741456282694491,0.031241789523199986,0.004904809477680759,6.394870530586335,3.254972217283199
PICPI,0.01005896697274931,0.004697689641868953,0.009598173943640083,0.0051777143582796645,1.0,1.0
Split conformal prediction,0.2718413669920775,0.008867549272393603,0.02335330551685952,0.003695370232984458,27.024779754076278,2.433098801291659
Calibration-based interval,0.011692303859188083,0.004861543085718402,0.009716416002103254,0.0054160422243699,1.162376205316474,1.0123192243813752
Fixed-width binning,0.01060384549667916,0.0057779041052772396,0.010621423823226369,0.00578974910757397,1.0541684375151024,1.1066088076330716
